waitDuration,serviceDuration,positiveFeedback
536,546,1
501,715,0
600,575,1
801,435,0
733,408,1
394,471,1
642,485,1
618,551,1
420,446,1
758,415,1
609,669,0
761,465,0
419,758,1
571,577,1
776,621,0
598,235,1
542,328,1
598,799,0
545,726,0
757,873,0
821,797,0
573,736,0
465,484,1
510,592,1
306,423,1
541,525,1
431,649,1
450,749,1
590,692,0
791,487,0
598,595,1
681,439,1
586,299,1
774,800,0
841,1020,0
636,419,1
756,1127,0
320,265,1
383,713,1
741,223,1
637,822,0
647,735,0
603,623,0
589,683,0
871,724,0
167,381,1
456,355,1
506,536,1
357,481,1
517,505,1
867,426,0
1154,716,0
613,335,1
491,840,0
757,435,1
475,733,0
293,665,1
372,629,1
664,554,0
765,648,0
581,538,1
480,597,1
403,433,1
199,698,1
394,201,1
711,575,0
689,581,0
502,170,1
756,336,1
646,397,1
563,380,1
628,981,0
829,243,1
972,770,0
478,474,1
570,627,1
754,1205,0
364,768,1
589,380,1
697,757,0
618,829,0
494,554,1
444,312,1
219,740,1
672,1091,0
535,301,1
479,370,1
566,340,1
196,877,1
303,333,1
753,475,0
605,187,1
844,772,0
368,935,0
775,490,0
664,657,0
521,632,1
413,736,1
607,661,0
787,380,1
574,505,1
728,398,1
297,771,1
616,976,0
709,783,0
617,751,0
738,785,0
626,461,1
455,760,0
662,915,0
517,599,1
621,396,1
440,695,1
1052,435,0
537,586,1
525,606,1
390,748,1
570,602,1
482,815,0
993,501,0
732,745,0
374,455,1
878,487,0
621,611,0
470,480,1
572,727,0
380,569,1
423,519,1
556,768,0
738,709,0
738,580,0
408,439,1
777,491,0
940,764,0
606,577,1
667,725,0
682,583,0
743,506,0
497,696,1
367,600,1
313,626,1
605,568,1
472,885,0
372,445,1
930,699,0
703,416,1
534,481,1
725,501,0
466,632,1
517,801,0
302,553,1
752,356,1
517,657,1
852,757,0
500,657,1
585,418,1
378,613,1
484,513,1
871,799,0
422,769,1
400,662,1
791,826,0
821,737,0
614,446,1
551,393,1
757,803,0
581,331,1
793,455,0
391,914,0
697,621,0
452,575,1
626,585,0
711,421,1
530,628,1
300,671,1
709,479,1
635,877,0
568,783,0
663,668,0
790,437,0
758,569,0
473,778,0
743,508,0
651,665,0
520,628,1
696,302,1
603,687,0
491,852,0
649,352,1
403,547,1
515,696,0
812,435,0
497,593,1
528,931,0
573,437,1
783,758,0
512,540,1
782,1010,0
547,511,1
661,503,1
651,719,0
572,479,1
882,472,0
566,407,1
563,429,1
334,932,0
553,690,0
739,711,0
728,855,0
799,723,0
407,630,1
380,316,1
388,689,1
538,357,1
573,380,1
330,632,1
565,924,0
542,715,0
740,643,0
300,800,1
596,800,0
703,721,0
530,758,0
513,769,0
765,454,0
567,793,0
558,563,1
718,895,0
702,654,0
636,731,0
509,515,1
390,682,1
648,657,0
425,335,1
548,614,1
841,646,0
431,408,1
740,590,0
545,753,0
546,600,1
344,811,1
370,360,1
827,391,0
443,301,1
762,517,0
753,63,1
926,849,0
397,527,1
563,563,1
675,343,1
506,737,0
341,688,1
625,1003,0
465,652,1
409,283,1
474,437,1
952,291,0
1122,415,0
920,596,0
531,617,1
530,543,1
508,679,1
358,748,1
545,734,0
278,728,1
612,316,1
602,713,0
635,760,0
637,450,1
464,255,1
539,460,1
722,693,0
825,492,0
482,578,1
363,964,0
468,393,1
557,413,1
546,682,0
612,805,0
381,681,1
466,514,1
593,453,1
522,717,0
530,683,0
406,678,1
533,290,1
278,361,1
277,691,1
1041,686,0
528,852,0
642,498,1
573,588,1
485,279,1
601,628,0
708,567,0
565,372,1
650,626,0
664,650,0
394,723,1
890,398,0
306,634,1
498,769,0
720,1092,0
468,371,1
572,717,0
1083,709,0
649,532,1
451,753,0
608,555,1
760,803,0
641,584,0
404,516,1
664,779,0
561,635,1
566,491,1
580,649,0
771,448,0
539,487,1
457,442,1
807,663,0
408,645,1
880,512,0
413,531,1
752,526,0
631,489,1
498,873,0
687,680,0
383,640,1
654,313,1
583,475,1
488,841,0
620,456,1
614,829,0
378,705,1
867,784,0
626,821,0
626,598,0
594,596,1
1057,545,0
1107,229,0
596,884,0
573,317,1
610,455,1
820,620,0
469,436,1
717,558,0
736,590,0
497,634,1
542,597,1
411,811,0
807,791,0
725,625,0
535,671,0
399,128,1
636,610,0
421,877,0
515,962,0
482,697,1
563,564,1
505,480,1
525,622,1
423,262,1
357,560,1
382,499,1
614,885,0
527,516,1
662,185,1
469,640,1
670,453,1
664,378,1
581,965,0
731,650,0
769,830,0
691,903,0
648,387,1
656,500,1
707,743,0
180,531,1
930,626,0
551,319,1
616,872,0
160,573,1
695,701,0
731,426,1
600,194,1
526,290,1
978,683,0
353,427,1
572,570,1
426,476,1
597,773,0
748,814,0
535,475,1
669,139,1
527,730,0
604,546,1
717,369,1
893,647,0
875,444,0
323,612,1
893,397,0
764,827,0
613,579,1
726,967,0
518,161,1
788,504,0
685,603,0
595,449,1
665,519,1
804,718,0
485,439,1
540,827,0
680,597,0
483,258,1
433,532,1
689,556,0
759,644,0
491,717,0
676,724,0
612,550,1
448,541,1
426,372,1
448,220,1
854,781,0
659,433,1
794,682,0
969,948,0
397,644,1
814,744,0
648,600,0
584,490,1
461,649,1
875,712,0
608,371,1
275,494,1
597,628,0
989,741,0
368,231,1
776,547,0
350,539,1
567,838,0
701,419,1
635,531,1
542,466,1
521,727,0
375,800,1
743,725,0
638,714,0
756,426,1
570,763,0
545,383,1
886,126,1
886,828,0
571,474,1
388,430,1
605,498,1
705,755,0
632,463,1
629,573,0
396,837,0
751,413,1
973,741,0
519,783,0
663,192,1
928,682,0
497,367,1
808,796,0
260,354,1
591,471,1
652,329,1
580,813,0
500,630,1
780,694,0
620,490,1
461,284,1
424,550,1
506,580,1
455,649,1
1020,518,0
496,786,0
426,859,0
727,673,0
856,591,0
380,820,0
924,759,0
506,993,0
236,670,1
614,777,0
662,392,1
587,596,1
326,724,1
801,635,0
787,595,0
584,733,0
350,741,1
575,532,1
351,702,1
379,735,1
631,849,0
593,575,1
538,826,0
750,398,1
791,735,0
364,432,1
777,580,0
563,872,0
692,780,0
956,666,0
692,450,1
612,734,0
205,870,1
697,945,0
268,762,1
652,679,0
380,774,1
374,465,1
666,511,1
726,452,1
274,542,1
695,393,1
322,873,1
853,379,0
355,484,1
650,570,0
756,817,0
681,573,0
724,544,0
863,572,0
615,1064,0
754,586,0
434,612,1
550,474,1
536,395,1
466,691,1
494,531,1
872,521,0
395,478,1
640,917,0
694,632,0
538,358,1
607,651,0
786,635,0
775,507,0
960,664,0
491,527,1
488,528,1
575,480,1
610,971,0
707,465,1
538,592,1
652,591,0
613,466,1
162,567,1
715,408,1
1043,359,0
720,632,0
539,644,1
413,340,1
248,1051,0
881,374,0
417,305,1
718,420,1
592,751,0
867,677,0
748,1144,0
503,457,1
554,611,1
726,1019,0
437,560,1
734,542,0
678,590,0
699,601,0
248,126,1
1052,804,0
694,500,1
815,398,0
433,636,1
402,420,1
324,450,1
503,543,1
609,793,0
332,735,1
296,703,1
388,409,1
628,698,0
529,427,1
643,579,0
334,648,1
328,734,1
680,758,0
748,819,0
611,599,0
673,590,0
776,588,0
840,976,0
513,777,0
272,663,1
523,656,1
727,619,0
774,461,0
762,871,0
573,923,0
369,581,1
587,509,1
494,435,1
355,501,1
438,360,1
708,664,0
628,493,1
616,580,1
733,825,0
509,247,1
368,687,1
594,639,0
500,941,0
637,696,0
643,481,1
657,469,1
731,547,0
657,817,0
613,575,1
585,706,0
465,856,0
697,484,1
611,543,1
841,612,0
351,618,1
510,638,1
533,781,0
765,909,0
565,723,0
928,600,0
285,652,1
378,713,1
749,495,0
644,550,1
674,513,1
823,624,0
693,745,0
727,383,1
508,509,1
645,337,1
584,601,1
778,365,1
761,464,0
607,652,0
363,786,1
609,474,1
787,492,0
594,744,0
580,526,1
427,677,1
422,880,0
566,638,0
616,700,0
559,702,0
490,785,0
374,823,1
202,544,1
583,629,0
721,769,0
680,747,0
472,172,1
302,580,1
763,474,0
579,531,1
253,825,1
792,456,0
474,495,1
638,775,0
746,317,1
1188,412,0
588,667,0
389,908,0
535,955,0
627,1056,0
801,529,0
528,462,1
801,677,0
670,840,0
654,771,0
451,663,1
390,480,1
546,903,0
346,772,1
363,324,1
592,610,0
805,1214,0
857,694,0
507,239,1
792,711,0
450,606,1
489,541,1
472,478,1
785,430,0
437,384,1
550,669,0
558,814,0
377,622,1
958,592,0
664,766,0
576,688,0
424,283,1
367,608,1
336,719,1
528,706,0
191,539,1
985,481,0
466,662,1
855,679,0
553,381,1
677,660,0
632,629,0
673,258,1
288,621,1
726,736,0
413,501,1
693,751,0
393,610,1
647,421,1
844,859,0
910,616,0
626,570,1
498,406,1
702,272,1
770,819,0
513,534,1
819,435,0
311,355,1
414,536,1
1054,549,0
305,649,1
626,878,0
608,481,1
710,674,0
493,528,1
850,298,1
474,442,1
1015,452,0
511,653,1
534,1020,0
516,844,0
914,847,0
735,727,0
393,1085,0
385,514,1
696,607,0
775,570,0
514,477,1
336,716,1
350,221,1
654,284,1
407,795,0
765,686,0
672,554,0
672,555,0
161,1117,0
647,965,0
560,506,1
655,898,0
472,587,1
461,645,1
532,775,0
975,892,0
752,498,0
275,543,1
856,550,0
543,731,0
398,621,1
908,488,0
545,655,0
568,358,1
542,929,0
661,484,1
777,370,1
772,588,0
522,654,1
528,674,0
726,829,0
331,587,1
412,468,1
690,554,0
542,537,1
651,207,1
260,506,1
456,719,1
532,526,1
454,631,1
841,553,0
843,751,0
573,682,0
383,441,1
538,582,1
334,755,1
626,699,0
490,806,0
604,705,0
562,992,0
572,608,1
667,360,1
734,616,0
717,860,0
883,469,0
293,214,1
1100,405,0
721,587,0
562,655,0
745,572,0
620,577,1
728,254,1
786,480,0
424,849,0
569,734,0
490,540,1
930,353,0
597,305,1
835,1001,0
726,632,0
981,432,0
615,503,1
498,409,1
345,763,1
387,673,1
616,706,0
395,578,1
784,498,0
657,594,0
606,859,0
610,662,0
806,614,0
492,541,1
958,894,0
314,421,1
487,646,1
693,714,0
583,576,1
567,694,0
605,691,0
591,368,1
540,751,0
689,1049,0
472,625,1
487,524,1
903,910,0
889,605,0
362,707,1
235,721,1
530,667,1
664,638,0
384,318,1
723,558,0
602,692,0
696,570,0
743,310,1
542,428,1
501,430,1
636,619,0
486,557,1
542,630,1
758,521,0
281,613,1
964,760,0
636,708,0
578,556,1
860,1044,0
648,502,1
627,388,1
700,379,1
765,596,0
605,662,0
665,448,1
716,841,0
463,690,1
456,733,1
312,604,1
670,515,1
-10,693,1
544,839,0
334,608,1
712,680,0
641,380,1
720,673,0
734,693,0
379,572,1
492,668,1
529,673,0
708,470,1
593,577,1
334,976,0
778,279,1
614,951,0
410,667,1
423,803,0
562,568,1
315,462,1
390,725,1
372,604,1
814,1090,0
717,382,1
535,690,0
186,670,1
633,289,1
627,948,0
233,431,1
675,375,1
775,800,0
523,319,1
537,616,1
459,665,1
628,535,1
566,1183,0
765,626,0
494,686,1
613,501,1
999,463,0
695,577,0
434,458,1
688,607,0
715,702,0
654,483,1
